full_context,answer,grade,split
"It takes time for water to soften a sponge. When you are telling an employee, lawn service worker, your teenager, or anyone else, what it is that you want them to do, you may just have to repeat the order and instructions several times before the receiver really gets what it is you want done. That’s not bad. That’s normal communication lag. Be patient. When you are asking someone a question, in an effort to learn a fact that you feel is important for you to know, but they just don’t seem to be willing to give you an answer, take it as a signal that you need to rephrase your question a little and repeat it again, and again, and again, until finally you are heard and answered.",1,3,train
"A distinct emotional trait of human nature is to watch fellow humans closely, to learn their stories, and thereby to judge their character and dependability. And so it has ever been since the Pleistocene. The first bands classifiable to the genus Homo and their descendants were hunter­gatherers. Like the Kalahari Ju/’hoansi of today, they almost certainly depended on sophisticated cooperative behavior just to survive from one day to the next. That, in turn, required exact knowledge of the personal history and accomplishments of each of their groupmates, and equally they needed an empathetic sense of the feelings and propensities of others. It gives deep satisfaction—call it, if you will, a human instinct—not just to learn but also to share emotions stirred by the stories told by our companions. The whole of these performances pays off in survival and reproduction. Gossip and storytelling are Darwinian phenomena.",1,3,train
"Many people create and share pictures and videos on the Internet. The difficulty is finding what you want. Typically, people want to search using words (rather than, say, example sketches). Because most pictures don’t come with words attached, it is natural to try and build tagging systems that tag images with relevant words. The underlying machinery is straightforward―we apply image classification and object detection methods and tag the image with the output words. But tags aren’t a comprehensive description of what is happening in an image. It matters who is doing what, and tags don’t capture this. For example, tagging a picture of a cat in the street with the object categories “cat”, “street”, “trash can” and “fish bones” leaves out the information that the cat is pulling the fish bones out of an open trash can on the street.",2,3,train
"Some people have defined wildlife damage management as the science and management of overabundant species, but this definition is too narrow. All wildlife species act in ways that harm human interests. Thus, all species cause wildlife damage, not just overabundant ones. One interesting example of this involves endangered peregrine falcons in California, which prey on another endangered species, the California least tern. Certainly, we would not consider peregrine falcons as being overabundant, but we wish that they would not feed on an endangered species. In this case, one of the negative values associated with a peregrine falcon population is that its predation reduces the population of another endangered species. The goal of wildlife damage management in this case would be to stop the falcons from eating the terns without harming the falcons.",2,3,train
"Because the environment plays a significant role in aiding meaningful internal processes, subjective experience and the environment act as a ‘coupled system.’ This coupled system can be seen as a complete cognitive system of its own. In this manner, subjective experience is extended into the external environment and vice versa; the external environment with its disciplinary objects such as institutional laws and equipment becomes mental institutions that affect our subjective experience and solutions. A subjectively held belief attains the status of objectivity when the belief is socially shared. That is, even if we are trained as hard-nosed health care rationalists, or no-nonsense bureaucrats, or data-driven scientists, research has shown that our decisions are influenced by various institutional practices. They include bureaucratic structures and procedures, the architectural design of health care institutions, the rules of evidence and the structure of allowable questions in a courtroom trial, the spatial arrangement of kindergartens and supermarkets, and a variety of conventions and practices designed to manipulate our emotions.",1,3,train
"In one of the most famous passages of Being and Nothingness, “The Look,” Jean­Paul Sartre describes the peculiar vulnerability that develops when someone goes from seeing (being a self with a perspective on the world) to being seen (having to confront the perspective of another on one’s self). He illustrates it with the example of someone looking through a keyhole who suddenly finds himself caught by someone watching him. The look of the other is always unnerving, Sartre argues, not only because we momentarily recognize ourselves in it through our imagination of their judgment of us but also because we don’t. We can always step back, challenge our perception of others’ perceptions of ourselves, or explain them away—but we don’t know what these perceptions really are. Others have the distinctive power of making us feel judged in ways we cannot fully control. Social life is all about the fear that accompanies our awareness that we can never access what the other sees. We can only guess.",1,3,train
"Over the past 60 years, as mechanical processes have replicated behaviors and talents we thought were unique to humans, we’ve had to change our minds about what sets us apart. As we invent more species of AI, we will be forced to surrender more of what is supposedly unique about humans. Each step of surrender ─ we are not the only mind that can play chess, fly a plane, make music, or invent a mathematical law ─ will be painful and sad. We’ll spend the next three decades ─ indeed, perhaps the next century ─ in a permanent identity crisis, continually asking ourselves what humans are good for. If we aren’t unique toolmakers, or artists, or moral ethicists, then what, if anything, makes us special? In the grandest irony of all, the greatest benefit of an everyday, utilitarian AI will not be increased productivity or an economics of abundance or a new way of doing science ─ although all those will happen. The greatest benefit of the arrival of artificial intelligence is that AIs will help define humanity.",1,3,train
"No learning is possible without an error signal. Organisms only learn when events violate their expectations. In other words, surprise is one of the fundamental drivers of learning. Imagine hearing a series of identical notes, AAAAA. Each note draws out a response in the auditory areas of your brain—but as the notes repeat, those responses progressively decrease. This is called “adaptation,” a deceptively simple phenomenon that shows that your brain is learning to anticipate the next event. Suddenly, the note changes: AAAAA#. Your primary auditory cortex immediately shows a strong surprise reaction: not only does the adaptation fade away, but additional neurons begin to vigorously fire in response to the unexpected sound. And it is not just repetition that leads to adaptation: what matters is whether the notes are predictable. For instance, if you hear an alternating set of notes, such as ABABA, your brain gets used to this alternation, and the activity in your auditory areas again decreases. This time, however, it is an unexpected repetition, such as ABABB, that triggers a surprise response.",2,2,train
"News, especially in its televised form, is constituted not only by its choice of topics and stories but by its verbal and visual idioms or modes of address. Presentational styles have been subject to a tension between an informational-educational purpose and the need to engage us entertainingly. While current affairs programmes are often ‘serious’ in tone sticking to the ‘rules’ of balance, more popular programmes adopt a friendly, lighter, idiom in which we are invited to consider the impact of particular news items from the perspective of the ‘average person in the street’. Indeed, contemporary news construction has come to rely on an increased use of faster editing tempos and ‘flashier’ presentational styles including the use of logos, sound-bites, rapid visual cuts and the ‘star quality’ of news readers. Popular formats can be said to enhance understanding by engaging an audience unwilling to endure the longer verbal orientation of older news formats. However, they arguably work to reduce understanding by failing to provide the structural contexts for news events.",5,3,train
"Temporal resolution is particularly interesting in the context of satellite remote sensing. The temporal density of remotely sensed imagery is large, impressive, and growing. Satellites are collecting a great deal of imagery as you read this sentence. However, most applications in geography and environmental studies do not require extremely fine-grained temporal resolution. Meteorologists may require visible, infrared, and radar information at sub-hourly temporal resolution; urban planners might require imagery at monthly or annual resolution; and transportation planners may not need any time series information at all for some applications. Again, the temporal resolution of imagery used should meet the requirements of your inquiry. Sometimes researchers have to search archives of aerial photographs to get information from that past that pre-date the collection of satellite imagery.",2,3,train
"One of the common themes of the Western philosophical tradition is the distinction between sensual perceptions and rational knowledge. Since Plato, the supremacy of rational reason is based on the assertion that it is able to extract true knowledge from experience. As the discussion in the Republic helps to explain, perceptions are inherently unreliable and misleading because the senses are subject to errors and illusions. Only the rational discourse has the tools to overcome illusions and to point towards true knowledge. For instance, perception suggests that a figure in the distance is smaller than it really is. Yet, the application of logical reasoning will reveal that the figure only appears small because it obeys the laws of geometrical perspective. Nevertheless, even after the perspectival correction is applied and reason concludes that perception is misleading, the figure still appears small, and the truth of the matter is revealed not in the perception of the figure but in its rational representation.",5,3,train
"When it comes to climates in the interior areas of continents, mountains play a huge role in stopping the flow of moisture. A great example of this can be seen along the West Coast of the United States. Air moving from the Pacific Ocean toward the land usually has a great deal of moisture in it. When this humid air moves across the land, it encounters the Coast Range Mountains. As the air moves up and over the mountains, it begins to cool, which causes precipitation on the windward side of the mountains. Once the air moves down the opposite side of the mountains (called the leeward side) it has lost a great deal of moisture. The air continues to move and then hits the even higher Sierra Nevada mountain range. This second uplift causes most of the remaining moisture to fall out of the air, so by the time it reaches the leeward side of the Sierras, the air is extremely dry. The result is that much of the state of Nevada is a desert.",3,2,train
"Emma Brindley has investigated the responses of European robins to the songs of neighbors and strangers. Despite the large and complex song repertoire of European robins, they were able to discriminate between the songs of neighbors and strangers. When they heard a tape recording of a stranger, they began to sing sooner, sang more songs, and overlapped their songs with the playback more often than they did on hearing a neighbor’s song. As Brindley suggests, the overlapping of song may be an aggressive response. However, this difference in responding to neighbor versus stranger occurred only when the neighbor’s song was played by a loudspeaker placed at the boundary between that neighbor’s territory and the territory of the bird being tested. If the same neighbor’s song was played at another boundary, one separating the territory of the test subject from another neighbor, it was treated as the call of a stranger. Not only does this result demonstrate that the robins associate locality with familiar songs, but it also shows that the choice of songs used in playback experiments is highly important.",4,3,train
"Even if it is correct to say that we express and represent our thoughts in language, it may be a big mistake to suppose that there are structural similarities between what is doing the representing and what is represented. Robert Stalnaker, in his book Inquiry, suggests an analogy with the representation of numbers: The number 9 can be represented as ‘12—3’ but it does not follow that 12, 3, or subtraction are constituents of the number 9. We could compare a thought and its verbal expression with toothpaste and its ‘expression’ from a tube. That the result of expressing toothpaste is a long, thin, cylinder does not entail that toothpaste itself is long, thin, or cylindrical. Similarly, a thought might get expressed out loud in a statement with a particular linguistic structure. It does not follow that the thought itself has such a structure. Suppose, for example, that I look at a fruit bowl, and think that there is an apple and an orange in that bowl. The objects in front of my eyes include some pieces of fruit and a bowl, but no object corresponding to the word ‘and’ exists either in the world or in my visual image.",1,3,train
"When the navigation app on your smartphone is telling you the best route to the airport based on current traffic patterns, how does it know where the traffic is? Navigation systems are tracking your cell phone and the cell phones of thousands of other users of the applications to see how quickly those cell phones move through traffic. If you’re stuck in a traffic jam, your cell phone reports the same GPS coordinates for several minutes; if traffic is moving swiftly, your cell phone moves as quickly as your car and these apps can recommend routes based on that. The quality of the overall system depends crucially on there being a large number of users. In this respect they’re similar to telephones, fax machines, and e­mail: If only one or two people have them, they are not much good―their utility increases with the number of users.",2,3,train
"Heritage is concerned with the ways in which very selective material artefacts, mythologies, memories and traditions become resources for the present. The contents, interpretations and representations of the resource are selected according to the demands of the present; an imagined past provides resources for a heritage that is to be passed onto an imagined future. It follows too that the meanings and functions of memory and tradition are defined in the present. Further, heritage is more concerned with meanings than material artefacts. It is the former that give value, either cultural or financial, to the latter and explain why they have been selected from the near infinity of the past. In turn, they may later be discarded as the demands of present societies change, or even, as is presently occurring in the former Eastern Europe, when pasts have to be reinvented to reflect new presents. Thus heritage is as much about forgetting as remembering the past.",2,3,train
"Life is insecure and human well­being is fragile. If we are honest with ourselves, we realize that, despite our best efforts, we often cannot control the vicissitudes of human existence. We go through life in fear and trembling, fearing what may happen, while hoping for the best. Most of us get anxious in the face of an indeterminate or ambiguous situation. We don’t handle uncertainty very well. We are easily tempted to settle for quick “solutions,” in order to eliminate our anxiety and doubt, even though these quick fixes may not, in the long run, actually be adequate solutions. It is natural, therefore, and even somewhat necessary, for us to seek stability in a sea of change and indeterminacy. We want a fixed star to guide us on our journey through hazardous waters. If only we could have knowledge of what is fixed, unchanging, and ultimately reliable, then, we assume, that would be knowledge most worth having.",2,3,train
"The quest for knowledge in the material world is a never­ending pursuit, but the quest does not mean that a thoroughly schooled person is an educated person or that an educated person is a wise person. We are too often blinded by our ignorance of our ignorance, and our pursuit of knowledge is no guarantee of wisdom. Hence, we are prone to becoming the blind leading the blind because our overemphasis on competition in nearly everything makes looking good more important than being good. The resultant fear of being thought a fool and criticized therefore is one of greatest enemies of true learning. Although our ignorance is undeniably vast, it is from the vastness of this selfsame ignorance that our sense of wonder grows. But, when we do not know we are ignorant, we do not know enough to even question, let alone investigate, our ignorance. No one can teach another person anything. All one can do with and for someone else is to facilitate learning by helping the person to discover the wonder of their ignorance.",5,3,train
"People have always wanted to be around other people and to learn from them. Cities have long been dynamos of social possibility, foundries of art, music, and fashion. Slang, or, if you prefer, “lexical innovation,” has always started in cities―an outgrowth of all those different people so frequently exposed to one another. It spreads outward, in a manner not unlike trans- missible disease, which itself typically “takes off” in cities. If, as the noted linguist Leonard Bloomfield argued, the way a person talks is a “composite result of what he has heard before,” then language innovation would happen where the most people heard and talked to the most other people. Cities drive taste change because they offer the greatest exposure to other people, who not surprisingly are often the creative people cities seem to attract. Media, ever more global, ever more far-reaching, spread language faster to more people.",2,3,train
"Weber’s law concerns the perception of difference between two stimuli. It suggests that we might not be able to detect a 1-mm difference when we are looking at lines 466 mm and 467 mm in length, but we may be able to detect a 1-mm difference when we are comparing a line 2 mm long with one 3 mm long. Another example of this principle is that we can detect 1 candle when it is lit in an otherwise dark room. But when 1 candle is lit in a room in which 100 candles are already burning, we may not notice the light from this candle. Therefore, the Just-noticeable difference (JND) varies as a function of the strength of the signals. For example, the JND is greater for very loud noises than it is for much more quiet sounds. When a sound is very weak, we can tell that another sound is louder, even if it is barely louder. When a sound is very loud, to tell that another sound is even louder, it has to be much louder. Thus, Weber’s law means that it is harder to distinguish between two samples when those samples are larger or stronger levels of the stimuli.",4,2,train
"Sculpture in a public place is the emotional and aesthetic focal point of the elements in the surrounding environment. Any environment is unique with the diversity of its component elements, the connections between them and their appearance as a complete structure. This preliminary structural analysis and acquaintance with the site chosen for the sculpture is compulsory before working on its design; it is a requirement for successful integration in the specific space. The proper understanding of the spatial characteristics of the elements, making up the whole multitude, as well as of the structural links between the constituent elements of this specific microcosm are preconditions for satisfactory design and an adequate sculptural solution. Contrary to the mechanical adding of one more element to the multitude, it is better to “weave” something more into the context of the existing structure.",1,3,train
"Not all Golden Rules are alike; two kinds emerged over time. The negative version instructs restraint; the positive encourages intervention. One sets a baseline of at least not causing harm; the other points toward aspirational or idealized beneficent behavior. While examples of these rules abound, too many to list exhaustively, let these versions suffice for our purpose here: “What is hateful to you do not do to another” and “Love another as yourself.” Both versions insist on caring for others, whether through acts of omission, such as not injuring, or through acts of commission, by actively intervening. Yet while these Golden Rules encourage an agent to care for an other, they do not require abandoning self-concern altogether. The purposeful displacement of concern away from the ego nonetheless remains partly self-referential. Both the negative and the positive versions invoke the ego as the fundamental measure against which behaviors are to be evaluated.",4,3,train
"The Neanderthals would have faced a problem when it was daylight: the light quality is much poorer at high latitudes and this would have meant that they couldn’t see things in the distance so well. For a hunter, this is a serious problem, because you really don’t want to make the mistake of not noticing the mother rhinoceros hiding in a dark corner of the forest edge when trying to spear her calf. Living under low light conditions places a much heavier premium on vision than most researchers imagine. The evolutionary response to low light levels is to increase the size of the visual processing system. It is the familiar principle from conventional star-gazing telescopes: under the dim lighting of the night sky, a larger mirror allows you to gather more of the light from whatever you want to look at. By the same token, a larger retina allows you to receive more light to compensate for poor light levels.",3,2,train
"In an increasingly globalized world, literature in translation has an especially important role. Increasingly, writers, readers, and publishers are turning to literature as a bridge between cultures, particularly Western and Arab societies. This growing interest is, in turn, driving a boom in translation. However, not surprisingly perhaps, most translations are from English into other languages, not from another language, such as Arabic, into English. Hence, the huge American market is seen as driving the imbalance. Bookstores in the United States, for example, rarely stock more than Nobel Prize winner Naguib Mahfouz’s Cairo Trilogy, a masterful, realistic account of life in Cairo and of a merchant family in the mid-20th century. Western readers likely know little of Mahfouz’s more experimental work, his political and religious allegories, or his historical dramas. The result is a kind of one-way mirror between America and the rest of the world.",4,3,train
"The history of perspective in Western painting matters because of what it reveals for the art of living. Just as most artists conform to the stylistic conventions of the era into which they are born, we similarly conform to prevailing social conventions about how to live. These unwritten rules typically include getting married and having children, owning your own home and having a mortgage, having a regular job and commuting to work, and flying abroad for holidays. For some people these are realities, for others they remain aspirations. It is common to feel social pressure to comply with them. At this point in Western history, they are amongst the dominant conventions that most of us have accepted with little questioning, much as Vermeer and other Dutch baroque painters of the seventeenth century accepted linear perspective without question. It is difficult to see beyond the limitations of the culture that has shaped our ways of looking at the world and at ourselves. We are trapped in the perspective of our own time.",2,3,train
"Epictetus wrote, “A man’s master is he who is able to confirm or remove whatever that man seeks or shuns.” If you depend on no one except yourself to satisfy your desires, you will have no master other than yourself and you will be free. Stoic philosophy was about that―taking charge of your life, learning to work on those things that are within your power to accomplish or change and not to waste energy on things you cannot. In particular, the Stoics warned against reacting emotionally to what is outside your control. Often, Epictetus argued, it’s not our circumstances that get us down but rather the judgments we make about them. Consider anger. We don’t get angry at the rain if it spoils our picnic. That would be silly because we can’t do anything about the rain. But we often do get angry if someone mistreats us. We usually can’t control or change that person any more than we can stop the rain, so that is equally silly. More generally, it is just as pointless to tie our feelings of well­being to altering another individual’s behavior as it is to tie them to the weather. Epictetus wrote, “If it concerns anything not in our control, be prepared to say that it is nothing to you.”",3,3,train
"There have been psychological studies in which subjects were shown photographs of people’s faces and asked to identify the expression or state of mind evinced. The results are invariably very mixed. In the 17th century the French painter and theorist Charles Le Brun drew a series of faces illustrating the various emotions that painters could be called upon to represent. What is striking about them is that any number of them could be substituted for one another without loss. What is missing in all this is any setting or context to make the emotion determinate. We must know who this person is, who these other people are, what their relationship is, what is at stake in the scene, and the like. In real life as well as in painting we do not come across just faces; we encounter people in particular situations and our understanding of people cannot somehow be precipitated and held isolated from the social and human circumstances in which they, and we, live and breathe and have our being.",5,3,train
"The entrance to a honeybee colony, often referred to as the dancefloor, is a market place for information about the state of the colony and the environment outside the hive. Studying interactions on the dancefloor provides us with a number of illustrative examples of how individuals changing their own behavior in response to local information allow the colony to regulate its workforce. For example, upon returning to their hive honeybees that have collected water search out a receiver bee to unload their water to within the hive. If this search time is short then the returning bee is more likely to perform a waggle dance to recruit others to the water source. Conversely, if this search time is long then the bee is more likely to give up collecting water. Since receiver bees will only accept water if they require it, either for themselves or to pass on to other bees and brood, this unloading time is correlated with the colony’s overall need of water. Thus the individual water forager’s response to unloading time (up or down) regulates water collection in response to the colony’s need.",1,3,train
"Modern psychological theory states that the process of understanding is a matter of construction, not reproduction, which means that the process of understanding takes the form of the interpretation of data coming from the outside and generated by our mind. For example, the perception of a moving object as a car is based on an interpretation of incoming data within the framework of our knowledge of the world. While the interpretation of simple objects is usually an uncontrolled process, the interpretation of more complex phenomena, such as interpersonal situations, usually requires active attention and thought. Psychological studies indicate that it is knowledge possessed by the individual that determines which stimuli become the focus of that individual’s attention, what significance he or she assigns to these stimuli, and how they are combined into a larger whole. This subjective world, interpreted in a particular way, is for us the “objective” world; we cannot know any world other than the one we know as a result of our own interpretations.",2,3,train
"Fans feel for feeling’s own sake. They make meanings beyond what seems to be on offer. They build identities and experiences, and make artistic creations of their own to share with others. A person can be an individual fan, feeling an “idealized connection with a star, strong feelings of memory and nostalgia,” and engaging in activities like “collecting to develop a sense of self.” But, more often, individual experiences are embedded in social contexts where other people with shared attachments socialize around the object of their affections. Much of the pleasure of fandom comes from being connected to other fans. In their diaries, Bostonians of the 1800s described being part of the crowds at concerts as part of the pleasure of attendance. A compelling argument can be made that what fans love is less the object of their fandom than the attachments to (and differentiations from) one another that those affections afford.",4,3,train
"In the post-World War II years after 1945, unparalleled economic growth fueled a building boom and a massive migration from the central cities to the new suburban areas. The suburbs were far more dependent on the automobile, signaling the shift from primary dependence on public transportation to private cars. Soon this led to the construction of better highways and freeways and the decline and even loss of public transportation. With all of these changes came a privatization of leisure. As more people owned their own homes, with more space inside and lovely yards outside, their recreation and leisure time was increasingly centered around the home or, at most, the neighborhood. One major activity of this home-based leisure was watching television. No longer did one have to ride the trolly to the theater to watch a movie; similar entertainment was available for free and more conveniently from television.",4,3,train
"Scaling up from the small to the large is often accompanied by an evolution from simplicity to complexity while maintaining basic elements unchanged or conserved. This is familiar in engineering, economics, companies, cities, organisms, and, perhaps most dramatically, evolutionary process. For example, a skyscraper in a large city is a significantly more complex object than a modest family dwelling in a small town, but the underlying principles of construction and design, including questions of mechanics, energy and information distribution, the size of electrical outlets, water faucets, telephones, laptops, doors, etc., all remain approximately the same independent of the size of the building. Similarly, organisms have evolved to have an enormous range of sizes and an extraordinary diversity of morphologies and interactions, which often reflect increasing complexity, yet fundamental building blocks like cells, mitochondria, capillaries, and even leaves do not appreciably change with body size or increasing complexity of the class of systems in which they are embedded.",1,3,train
"Some of the most insightful work on information seeking emphasizes “strategic self-ignorance,” understood as “the use of ignorance as an excuse to engage excessively in pleasurable activities that may be harmful to one’s future self.” The idea here is that if people are present-biased, they might avoid information that would make current activities less attractive ―perhaps because it would produce guilt or shame, perhaps because it would suggest an aggregate trade-off that would counsel against engaging in such activities. St. Augustine famously said, “God give me chastity―tomorrow.” Present-biased agents think: “Please let me know the risks―tomorrow.” Whenever people are thinking about engaging in an activity with short-term benefits but long-term costs, they might prefer to delay receipt of important information. The same point might hold about information that could make people sad or mad: “Please tell me what I need to know―tomorrow.”",2,3,train
"Whatever their differences, scientists and artists begin with the same question: can you and I see the same thing the same way? If so, how? The scientific thinker looks for features of the thing that can be stripped of subjectivity―ideally, those aspects that can be quantified and whose values will thus never change from one observer to the next. In this way, he arrives at a reality independent of all observers. The artist, on the other hand, relies on the strength of her artistry to effect a marriage between her own subjectivity and that of her readers. To a scientific thinker, this must sound like magical thinking: you’re saying you will imagine something so hard it’ll pop into someone else’s head exactly the way you envision it? The artist has sought the opposite of the scientist’s observer-independent reality. She creates a reality dependent upon observers, indeed a reality in which human beings must participate in order for it to exist at all.",1,3,train
"Investigators as a personality type place a high value on science, process, and learning. They excel at research, using logic and the information gained through their senses to conquer complex problems. Nothing thrills them more than a “big find.” Intellectual, introspective, and exceedingly detail-oriented, investigators are happiest when they’re using their brain power to pursue what they deem as a worthy outcome. They prefer to march to their own beat, and they dislike overly structured environments that necessitate a set response to challenges. Investigators are not interested in leadership, and developing the interpersonal skills necessary to fuel collaboration is a hurdle for many of them. They may feel insecure in their ability to “keep up” in their fields and can react badly when forced to put more important work on hold to complete a task that doesn’t intrigue them.",2,3,train
"Audiences appreciate aha moments so much that they also enjoy simply expecting them, even if the moment never comes. Somebody can enjoy a long book or television show that offers no answer for hours and hours if the genre itself promises a resolution. When the popular, mystic television show Lost ended, many fans erupted in indignation that the showrunners failed to resolve the series’ many puzzles. This deprived careful viewers of the final aha moment that they thought they’d been promised. Some people surely felt like they’d wasted weeks, even months, of their lives waiting for answers. But their final disappointment didn’t retroactively change the sincere thrill they’d felt throughout the series. Lost was a monster hit for many years because audiences enjoyed the experience of anticipating answers, even though the writers were just stockpiling riddles without resolutions. Many people will put themselves through quite a bit of anguish if they expect fluent resolution at the end.",4,3,train
"Science and technology degrees are rewarding because they are not designed exclusively to get you into a job and keep you there. If you are taking a highly specialized or vocational degree, you may well know what career you are aiming for even before you get to university, but for most science and technology undergraduates university is an adventure in itself; ideas about a career may be in your thoughts, but not completely fixed. This gives you the advantage of knowing that you can develop your career ideas as your course progresses, aware that your degree will be of help to you in many areas of work. It is perhaps with this in mind that science and technology degree programs tend to be wide in scope and flexible in approach. You might go to university to study chemistry and find yourself doing some work within the physics department.",5,3,train
"The human species is unique in its ability to expand its functionality by inventing new cultural tools. Writing, arithmetic, science ― all are recent inventions. Our brains did not have enough time to evolve for them, but I reason that they were made possible because we can mobilize our old areas in novel ways. When we learn to read, we recycle a specific region of our visual system known as the visual word-form area, enabling us to recognize strings of letters and connect them to language areas. Likewise, when we learn Arabic numerals we build a circuit to quickly convert those shapes into quantities ― a fast connection from bilateral visual areas to the parietal quantity area. Even an invention as elementary as finger-counting changes our cognitive abilities dramatically. Amazonian people who have not invented counting are unable to make exact calculations as simple as, say, 6—2. This “cultural recycling” implies that the functional architecture of the human brain results from a complex mixture of biological and cultural constraints.",2,3,train
"The connectedness of the global economic market makes it vulnerable to potential “infection.” A financial failure can make its way from borrowers to banks to insurers, spreading like a flu. However, there are unexpected characteristics when it comes to such infection in the market. Infection can occur even without any contact. A bank might become insolvent even without having any of its investments fail. Fear and uncertainty can be damaging to financial markets, just as cascading failures due to bad investments. If we all woke up tomorrow and believed that Bank X would be insolvent, then it would become insolvent. In fact, it would be enough for us to fear that others believed that Bank X was going to fail, or just to fear our collective fear! We might all even know that Bank X was well-managed with healthy investments, but if we expected others to pull their money out, then we would fear being the last to pull our money out. Financial distress can be self-fulfilling and is a particularly troublesome aspect of financial markets.",1,2,train
"More than just having territories, animals also partition them. And this insight turned out to be particularly useful for zoo husbandry. An animal’s territory has an internal arrangement that Heini Hediger compared to the inside of a person’s house. Most of us assign separate functions to separate rooms, but even if you look at a one-room house you will find the same internal specialization. In a cabin or a mud hut, or even a Mesolithic cave from 30,000 years ago, this part is for cooking, that part is for sleeping; this part is for making tools and weaving, that part is for waste. We keep a neat functional organization. To a varying extent, other animals do the same. A part of an animal’s territory is for eating, a part for sleeping, a part for swimming or wallowing, a part may be set aside for waste, depending on the species of animal.",2,3,train
"Manufacturers design their innovation processes around the way they think the process works. The vast majority of manufacturers still think that product development and service development are always done by manufacturers, and that their job is always to find a need and fill it rather than to sometimes find and commercialize an innovation that lead users have already developed. Accordingly, manufacturers have set up market-research departments to explore the needs of users in the target market, product-development groups to think up suitable products to address those needs, and so forth. The needs and prototype solutions of lead users―if encountered at all―are typically rejected as outliers of no interest. Indeed, when lead users’ innovations do enter a firm’s product line―and they have been shown to be the actual source of many major innovations for many firms―they typically arrive with a lag and by an unusual and unsystematic route.",2,3,train
"Food unites as well as distinguishes eaters because what and how one eats forms much of one’s emotional tie to a group identity, be it a nation or an ethnicity. The famous twentieth-century Chinese poet and scholar Lin Yutang remarks, “Our love for fatherland is largely a matter of recollection of the keen sensual pleasure of our childhood. The loyalty to Uncle Sam is the loyalty to American doughnuts, and the loyalty to the Vaterland is the loyalty to Pfannkuchen and Stollen.” Such keen connection between food and national or ethnic identification clearly indicates the truth that cuisine and table narrative occupy a significant place in the training grounds of a community and its civilization, and thus, eating, cooking, and talking about one’s cuisine are vital to a community’s wholeness and continuation. In other words, the destiny of a community depends on how well it nourishes its members.",4,3,train
"The audience receives a sound signal entirely through the vibrations generated in the air, whereas in a singer some of the auditory stimulus is conducted to the ear through the singer’s own bones. Since these two ways of transferring sound have quite different relative efficiencies at various frequencies, the overall quality of the sound will be quite different. You have probably experienced this when you have listened to your own voice, as on tape or through a public address system. It is easy to blame the ‘sound of a stranger’ on ‘poor electronics,’ but this is only partly justified. The major effect comes from the fact that you hear yourself differently from the way others hear you. This is one of the main reasons why even the most accomplished singers have to listen to the opinion of coaches and voice teachers as to ‘how they sound,’ whereas no concert violinist would have to do such a thing. To the violinist playing sounds almost exactly the same as it does to someone else standing nearby.",4,3,train
"Everyone who drives, walks, or swipes a transit card in a city views herself as a transportation expert from the moment she walks out the front door. And how she views the street tracks pretty closely with how she gets around. That’s why we find so many well-intentioned and civic-minded citizens arguing past one another. At neighborhood meetings in school auditoriums, and in back rooms at libraries and churches, local residents across the nation gather for often-contentious discussions about transportation proposals that would change a city’s streets. And like all politics, all transportation is local and intensely personal. A transit project that could speed travel for tens of thousands of people can be stopped by objections to the loss of a few parking spaces or by the simple fear that the project won’t work. It’s not a challenge of the data or the traffic engineering or the planning. Public debates about streets are typically rooted in emotional assumptions about how a change will affect a person’s commute, ability to park, belief about what is safe and what isn’t, or the bottom line of a local business.",4,3,train
"Thomas Edison was indeed a creative genius, but it was not until he discovered some of the principles of marketing that he found increased success. One of his first inventions was, although much needed, a failure. In 1869, he created and patented an electronic vote recorder, which recorded and totalled the votes in the Massachusetts state legislature faster than the chamber’s old manual system. To Edison’s astonishment, it failed. Edison had not taken into account legislators’ habits. They didn’t like to vote quickly and efficiently. They liked to lobby their fellow legislators as voting took place. Edison had a great idea, but he completely misunderstood the needs of his customers. He learned from his failure the relationship between invention and marketing. Edison learned that marketing and invention must be integrated. “Anything that won’t sell, I don’t want to invent,” he said. “Its sale is proof of utility, and utility is success.” He realized he needed to put the customers’ needs first and tailor his thinking accordingly.",5,2,train
"Attitude has been conceptualized into four main components: affective (feelings of liking or disliking), cognitive (beliefs and evaluation of those beliefs), behavioral intention (a statement of how one would behave in a certain situation), and behavior. Public attitudes toward a wildlife species and its management are generated based on the interaction of those components. In forming our attitudes toward wolves, people strive to keep their affective components of attitude consistent with their cognitive component. For example, I could dislike wolves; I believe they have killed people (cognitive belief), and having people killed is of course bad (evaluation of belief). The behavioral intention that could result from this is to support a wolf control program and actual behavior may be a history of shooting wolves. In this example, all aspects of attitude are consistent with each other, producing a negative overall attitude toward wolves.",2,2,train
"The role of science can sometimes be overstated, with its advocates slipping into scientism. Scientism is the view that the scientific description of reality is the only truth there is. With the advance of science, there has been a tendency to slip into scientism, and assume that any factual claim can be authenticated if and only if the term ‘scientific’ can correctly be ascribed to it. The consequence is that non-scientific approaches to reality ― and that can include all the arts, religion, and personal, emotional and value-laden ways of encountering the world ― may become labelled as merely subjective, and therefore of little account in terms of describing the way the world is. The philosophy of science seeks to avoid crude scientism and get a balanced view on what the scientific method can and cannot achieve.",2,3,train
