input,target,grade,split
"Context: When scientists describe tool use by human beings, it is usually in terms of mechanical tools. This may apply to tools such as a sharpened flint blade or an electric drill. The key point is that the tool is thought of as passive and with a small number of predetermined uses. The digital revolution has begun to change this landscape in a significant way. Tools are now being developed with a general function in mind, but they are not predetermined in their operations. As a result, it is not possible to predict the outcome of their use. For example, the personal computer is designed for the general function of handling and processing information, but exactly how the PC is used is not predetermined. Therefore, for some, it may offer a means of communication; for others, a sophisticated means of managing accounts; and for yet others, an entertainment platform.
Answer: it is not possible to predict the outcome of their use
Explain:","Digital tools have general purposes without fixed operations, so it is not possible to predict the specific outcomes of their use; this matches choice it is not possible to predict the outcome of their use. The other options address evaluation of old inventions, device size/cost, ethics, or communication methods, none of which explain unpredictability.",3,train
"Context: Apocalypse Now, a film produced and directed by Francis Ford Coppola, gained widespread popularity, and for good reason. The film is an adaptation of Joseph Conrad’s novel Heart of Darkness, which is set in the African Congo at the end of the 19th century. Unlike the original novel, Apocalypse Now is set in Vietnam and Cambodia during the Vietnam War. The setting, time period, dialogue and other incidental details are changed but the fundamental narrative and themes of Apocalypse Now are the same as those of Heart of Darkness. Both describe a physical journey, reflecting the central character’s mental and spiritual journey, down a river to confront the deranged Kurtz character, who represents the worst aspects of civilisation. By giving Apocalypse Now a setting that was contemporary at the time of its release, audiences were able to experience and identify with its themes more easily than they would have if the film had been a literal adaptation of the novel.
Answer: a literal adaptation of the novel
Explain:","The film Apocalypse Now modernized the original novel Heart of Darkness to make it more relatable for contemporary audiences. The passage suggests that if the film had been a literal adaptation of the novel, audiences would not have been able to engage with its themes as easily as they do now. Therefore, option 1 is the most appropriate choice.",3,train
"Context: Veblen goods are named after Thorstein Veblen, a US economist who formulated the theory of conspicuous consumption . They are strange because demand for them increases as their price rises. According to Veblen, these goods must signal high status. A willingness to pay higher prices is due to a desire to advertise wealth rather than to acquire better quality. A true Veblen good, therefore, should not be noticeably higher quality than the lower-priced equivalents. If the price falls so much that it is no longer high enough to exclude the less well off, the rich will stop buying it. There is much evidence of this behavior in the markets for luxury cars, champagne, watches, and certain clothing labels. A reduction in prices might see a temporary increase in sales for the seller, but then sales will begin to fall.
Answer: it is no longer high enough to exclude the less well off
Explain:","For Veblen goods, exclusivity is key: if price drops so low that lower-income buyers can afford them, their status signaling vanishes and wealthy consumers lose interest. Only choice it is no longer high enough to exclude the less well off captures this exclusivity requirement.",2,train
"Context: There is something deeply paradoxical about the professional status of sports journalism, especially in the medium of print. In discharging their usual responsibilities of description and commentary, reporters’ accounts of sports events are eagerly consulted by sports fans, while in their broader journalistic role of covering sport in its many forms, sports journalists are among the most visible of all contemporary writers. The ruminations of the elite class of ‘celebrity’ sports journalists are much sought after by the major newspapers, their lucrative contracts being the envy of colleagues in other ‘disciplines’ of journalism. Yet sports journalists do not have a standing in their profession that corresponds to the size of their readerships or of their pay packets, with the old saying (now reaching the status of cliché) that sport is the ‘toy department of the news media’ still readily to hand as a dismissal of the worth of what sports journalists do. This reluctance to take sports journalism seriously produces the paradoxical outcome that sports newspaper writers are much read but little admired.
Answer: admired
Explain:","Sports reporters want to read a lot of their articles, and newspapers want a lot of money, but the news media does not enjoy professional status due to being treated as a ""toy department,"" so the most appropriate word to put in the blank is admired.",3,train
"Context: While there is no denying that exceptional players like Emmitt Smith can put points on the board and enhance team success, new research suggests there is a limit to the benefit top talents bring to a team. Researchers compared the amount of individual talent on teams with the teams’ success, and they found striking examples of more talent hurting the team. The researchers looked at three sports: basketball, soccer, and baseball. In each sport, they calculated both the percentage of top talent on each team and the teams’ success over several years. For both basketball and soccer, they found that top talent did in fact predict team success, but only up to a point. Furthermore, there was not simply a point of diminishing returns with respect to top talent; there was in fact a cost. Basketball and soccer teams with the greatest proportion of elite athletes performed worse than those with more moderate proportions of top level players.
Answer: more talent hurting the team
Explain:","The passage describes how teams with too high a proportion of top talent actually performed worse, illustrating that more talent can hurt the team; the other choices do not reflect this negative effect of excess star players.",3,train
"Context: In A Theory of Adaptation, Linda Hutcheon argues that “An adaptation is not vampiric: it does not draw the life­blood from its source and leave it dying or dead, nor is it paler than the adapted work. It may, on the contrary, keep that prior work alive, giving it an afterlife it would never have had otherwise.” Hutcheon’s refusal to see adaptation as “vampiric” is particularly inspiring for those of us who do work on adaptations. The idea of an “afterlife” of texts, of seeing what comes before as an inspiration for what comes now, is, by its very definition, keeping works “alive.” Adaptations for young adults, in particular, have the added benefit of engaging the young adult reader with both then and now, past and present—functioning as both “monuments” to history and the “flesh” of the reader’s lived experience. While this is true for adaptations in general, it is especially important for those written with young adults in mind. Such adaptations allow young readers to make personal connections with texts that might otherwise come across as old­fashioned or irrelevant.
Answer: allow young readers to make personal connections with texts
Explain:","By helping young readers relate to classic works through contemporary contexts or perspectives, adaptations make texts feel relevant and accessible. The other options do not address making old works resonate personally with young audiences.",3,train
"Context: In the 20th century, average life expectancy in the United States rose by nearly 30 years. The vast majority of that increase is credited to advances in public health, rather than advances in medical care, and legal interventions played a critical role in these advances. For example, requirements that children be vaccinated before they attend school played a central role in reducing occurrence of vaccine­preventable diseases. Smallpox and polio, which were once feared and deadly diseases, were eliminated from the Western Hemisphere (with smallpox eliminated worldwide), while the number of new measles cases dropped from more than 300,000 in 1950 to fewer than 100 in 2000. Likewise, following the introduction of extensive vehicle and roadway safety laws starting in the mid­1960s, the number of highway deaths decreased from roughly 51,000 in 1966 to 42,000 in 2000, even as the number of miles driven per year increased nearly 300%.
Answer: legal interventions
Explain:","The examples cited—mandatory vaccinations and vehicle and roadway safety laws—are enacted through legislation, making “legal interventions” the clear choice. The other options do not account for the role of laws in improving public health outcomes.",3,train
"Context: This feature frustrates any step-by-step process that proceeds without the realization that “things aren’t what they seem.” Hence, successful problem solving in these cases requires that the person acquire an insight into the nature of the trick.
Answer: Hence
Explain:","Before blank (B), the passage explains the cause—""the step-by-step approach fails""—and after the blank, it presents the result—""therefore, insight is needed."" ""Hence,"" which indicates a cause-and-effect relationship, is the most appropriate choice in this context..",3,train
"Context: One of the primary ways by which music is able to take on significance in our inner world is by the way it interacts with memory. Memories associated with important emotions tend to be more deeply embedded in our memory than other events. Emotional memories are more likely to be vividly remembered and are more likely to be recalled with the passing of time than neutral memories. Since music can be extremely emotionally evocative, key life events can be emotionally heightened by the presence of music, ensuring that memories of the event become deeply encoded. Retrieval of those memories is then enhanced by contextual effects, in which a recreation of a similar context to that in which the memories were encoded can facilitate their retrieval. Thus, re-hearing the same music associated with the event can activate intensely vivid memories of the event.
Answer: re-hearing the same music associated with the event
Explain:","Because hearing the same piece of music recreates the original emotional context, it triggers intensely vivid recall of the encoded memory. The other options do not involve re-triggering the original musical context that enhances retrieval.",2,train
"Context: One of the key contributions of critical theorists concerns the production of knowledge. Given that the transmission of knowledge is an integral activity in schools, critical scholars in the field of education have been especially concerned with how knowledge is produced. The scholars argue that a key element of social injustice involves the claim that particular knowledge is objective, neutral, and universal. An approach based on critical theory calls into question the idea that objectivity is desirable or even possible. The term used to describe this way of thinking about knowledge is that knowledge is socially constructed. When we refer to knowledge as socially constructed we mean that knowledge is reflective of the values and interests of those who produce it. This concept captures the understanding that all knowledge and all means of knowing are connected to a social context.
Answer: are connected to a social context
Explain:","Because critical theorists argue that knowledge reflects the values and interests of its producers, it is inherently tied to social context. The other choices (objective evaluation, universality, resistance to criticism, or academic linkage) do not address how knowledge emerges from specific social conditions.",3,train
"Context: If one looks at the Oxford definition, one gets the sense that post-truth is not so much a claim that truth does not exist as that facts are subordinate to our political point of view. The Oxford definition focuses on “what” post-truth is: the idea that feelings sometimes matter more than facts. But just as important is the next question, which is why this ever occurs. Someone does not argue against an obvious or easily confirmable fact for no reason; he or she does so when it is to his or her advantage. When a person’s beliefs are threatened by an “inconvenient fact,” sometimes it is preferable to challenge the fact. This can happen at either a conscious or unconscious level (since sometimes the person we are seeking to convince is ourselves), but the point is that this sort of post-truth relationship to facts occurs only when we are seeking to assert something that is more important to us than the truth itself.
Answer: that is more important to us than the truth itself
Explain:","The concept of ""post-truth"" suggests that facts are subordinated to our political perspectives and that emotions are considered more important than facts themselves. The reason we develop this post-truth relationship with facts is because it serves our own interests. Therefore, ""that is more important to us than the truth itself"" is the most appropriate choice for the blank.",3,train
"Context: Centralized, formal rules can facilitate productive activity by establishing roles and practices. The rules of baseball don’t just regulate the behavior of the players; they determine the behavior that constitutes playing the game. Rules do not prevent people from playing baseball; they create the very practice that allows people to play baseball. A score of music imposes rules, but it also creates a pattern of conduct that enables people to produce music. Legal rules that enable the formation of corporations, that enable the use of wills and trusts, that create negotiable instruments, and that establish the practice of contracting all make practices that create new opportunities for individuals. And we have legal rules that establish roles individuals play within the legal system, such as judges, trustees, partners, and guardians. True, the legal rules that establish these roles constrain the behavior of individuals who occupy them, but rules also create the roles themselves. Without them an individual would not have the opportunity to occupy the role.
Answer: facilitate productive activity by establishing roles and practices
Explain:","The rules are writings that regulate or restrict people's behavior, but to establish practices and roles that promote people's behavior. Thus, the most appropriate thing for the blank is facilitate productive activity by establishing roles and practices.",3,train
"Context: When examining the archaeological record of human culture, one has to consider that it is vastly incomplete. Many aspects of human culture have what archaeologists describe as low archaeological visibility, meaning they are difficult to identify archaeologically. Archaeologists tend to focus on tangible (or material) aspects of culture: things that can be handled and photographed, such as tools, food, and structures. Reconstructing intangible aspects of culture is more difficult, requiring that one draw more inferences from the tangible. It is relatively easy, for example, for archaeologists to identify and draw inferences about technology and diet from stone tools and food remains. Using the same kinds of physical remains to draw inferences about social systems and what people were thinking about is more difficult. Archaeologists do it, but there are necessarily more inferences involved in getting from physical remains recognized as trash to making interpretations about belief systems.
Answer: incomplete
Explain:","In archaeological studies, many reasoning that reconstructs the intangible aspects from the tangible aspects of culture should be made, because it has archaeological visibility with low aspects of culture. Low archaeological visibility explains the difficulty of identification of archaeological records, so the most appropriate thing for the blank is incomplete.",3,train
"Context: It takes time for water to soften a sponge. When you are telling an employee, lawn service worker, your teenager, or anyone else, what it is that you want them to do, you may just have to repeat the order and instructions several times before the receiver really gets what it is you want done. That’s not bad. That’s normal communication lag. Be patient. When you are asking someone a question, in an effort to learn a fact that you feel is important for you to know, but they just don’t seem to be willing to give you an answer, take it as a signal that you need to rephrase your question a little and repeat it again, and again, and again, until finally you are heard and answered.
Answer: patient
Explain:","The passage emphasizes that repeating instructions and questions is normal and advises maintaining a calm attitude until communication succeeds, which matches “patient.” The other choices do not convey the necessary tolerance for repetition.",3,train
"Context: A distinct emotional trait of human nature is to watch fellow humans closely, to learn their stories, and thereby to judge their character and dependability. And so it has ever been since the Pleistocene. The first bands classifiable to the genus Homo and their descendants were hunter­gatherers. Like the Kalahari Ju/’hoansi of today, they almost certainly depended on sophisticated cooperative behavior just to survive from one day to the next. That, in turn, required exact knowledge of the personal history and accomplishments of each of their groupmates, and equally they needed an empathetic sense of the feelings and propensities of others. It gives deep satisfaction—call it, if you will, a human instinct—not just to learn but also to share emotions stirred by the stories told by our companions. The whole of these performances pays off in survival and reproduction. Gossip and storytelling are Darwinian phenomena.
Answer: Gossip and storytelling
Explain:","Sharing stories and emotions through gossip and storytelling fosters knowledge of group members and strengthens cooperative bonds, enhancing survival and reproduction, which are Darwinian outcomes. The other choices do not capture this social and emotional knowledge transmission that benefits group cohesion and fitness.",3,train
"Context: Many people create and share pictures and videos on the Internet. The difficulty is finding what you want. Typically, people want to search using words (rather than, say, example sketches). Because most pictures don’t come with words attached, it is natural to try and build tagging systems that tag images with relevant words. The underlying machinery is straightforward―we apply image classification and object detection methods and tag the image with the output words. But tags aren’t a comprehensive description of what is happening in an image. It matters who is doing what, and tags don’t capture this. For example, tagging a picture of a cat in the street with the object categories “cat”, “street”, “trash can” and “fish bones” leaves out the information that the cat is pulling the fish bones out of an open trash can on the street.
Answer: a comprehensive description of what is happening in an image
Explain:","For example, tagging a picture of a cat into an object category, such as 'street', 'garbage bin', and 'fish bone' does not capture information about what a cat is doing, so tags do not explain everything in the image in detail. Therefore, a comprehensive description of what is happening in an image is the most appropriate word to enter the blank.",3,train
"Context: Some people have defined wildlife damage management as the science and management of overabundant species, but this definition is too narrow. All wildlife species act in ways that harm human interests. Thus, all species cause wildlife damage, not just overabundant ones. One interesting example of this involves endangered peregrine falcons in California, which prey on another endangered species, the California least tern. Certainly, we would not consider peregrine falcons as being overabundant, but we wish that they would not feed on an endangered species. In this case, one of the negative values associated with a peregrine falcon population is that its predation reduces the population of another endangered species. The goal of wildlife damage management in this case would be to stop the falcons from eating the terns without harming the falcons.
Answer: harming
Explain:","Both the peregrine falcon and the Chinese crested tern are endangered species, so the goal of wildlife damage management is to protect both species. Therefore, it is most appropriate to use ""harming"" in the blank, as we must protect the Chinese crested tern without harming the peregrine falcon",3,train
"Context: Because the environment plays a significant role in aiding meaningful internal processes, subjective experience and the environment act as a ‘coupled system.’ This coupled system can be seen as a complete cognitive system of its own. In this manner, subjective experience is extended into the external environment and vice versa; the external environment with its disciplinary objects such as institutional laws and equipment becomes mental institutions that affect our subjective experience and solutions. A subjectively held belief attains the status of objectivity when the belief is socially shared. That is, even if we are trained as hard-nosed health care rationalists, or no-nonsense bureaucrats, or data-driven scientists, research has shown that our decisions are influenced by various institutional practices. They include bureaucratic structures and procedures, the architectural design of health care institutions, the rules of evidence and the structure of allowable questions in a courtroom trial, the spatial arrangement of kindergartens and supermarkets, and a variety of conventions and practices designed to manipulate our emotions.
Answer: affect our subjective experience and solutions
Explain:","Since the environment and subjective experience act as a ""combined system,"" the subjective experience extends to an external environment, and on the contrary, the external environment affects our subjective experience. Therefore, the most appropriate word for the blank is affect our subjective experience and solutions.",3,train
"Context: In one of the most famous passages of Being and Nothingness, “The Look,” Jean­Paul Sartre describes the peculiar vulnerability that develops when someone goes from seeing (being a self with a perspective on the world) to being seen (having to confront the perspective of another on one’s self). He illustrates it with the example of someone looking through a keyhole who suddenly finds himself caught by someone watching him. The look of the other is always unnerving, Sartre argues, not only because we momentarily recognize ourselves in it through our imagination of their judgment of us but also because we don’t. We can always step back, challenge our perception of others’ perceptions of ourselves, or explain them away—but we don’t know what these perceptions really are. Others have the distinctive power of making us feel judged in ways we cannot fully control. Social life is all about the fear that accompanies our awareness that we can never access what the other sees. We can only guess.
Answer: access what the other sees
Explain:","Because we can only imagine another’s judgment and cannot directly perceive their perspective, we are aware that we can never truly access what the other sees. The other options do not align with this fundamental unknowability of another’s viewpoint.",3,train
"Context: Over the past 60 years, as mechanical processes have replicated behaviors and talents we thought were unique to humans, we’ve had to change our minds about what sets us apart. As we invent more species of AI, we will be forced to surrender more of what is supposedly unique about humans. Each step of surrender ─ we are not the only mind that can play chess, fly a plane, make music, or invent a mathematical law ─ will be painful and sad. We’ll spend the next three decades ─ indeed, perhaps the next century ─ in a permanent identity crisis, continually asking ourselves what humans are good for. If we aren’t unique toolmakers, or artists, or moral ethicists, then what, if anything, makes us special? In the grandest irony of all, the greatest benefit of an everyday, utilitarian AI will not be increased productivity or an economics of abundance or a new way of doing science ─ although all those will happen. The greatest benefit of the arrival of artificial intelligence is that AIs will help define humanity.
Answer: AIs will help define humanity
Explain:","The passage suggests that the advancement of AI will lead to a redefinition of what is unique about being human, ultimately implying that AIs will help define humanity. Therefore, option 1 is the most appropriate choice.",3,train
"Context: No learning is possible without an error signal. Organisms only learn when events violate their expectations. In other words, surprise is one of the fundamental drivers of learning. Imagine hearing a series of identical notes, AAAAA. Each note draws out a response in the auditory areas of your brain—but as the notes repeat, those responses progressively decrease. This is called “adaptation,” a deceptively simple phenomenon that shows that your brain is learning to anticipate the next event. Suddenly, the note changes: AAAAA#. Your primary auditory cortex immediately shows a strong surprise reaction: not only does the adaptation fade away, but additional neurons begin to vigorously fire in response to the unexpected sound. And it is not just repetition that leads to adaptation: what matters is whether the notes are predictable. For instance, if you hear an alternating set of notes, such as ABABA, your brain gets used to this alternation, and the activity in your auditory areas again decreases. This time, however, it is an unexpected repetition, such as ABABB, that triggers a surprise response.
Answer: predictable
Explain:",Adaptation occurs only when the sequence of notes follows an expected pattern; deviations from that pattern cause surprise. Therefore “predictable” fits the blank. The other options do not convey the idea of expected sequences.,2,train
"Context: News, especially in its televised form, is constituted not only by its choice of topics and stories but by its verbal and visual idioms or modes of address. Presentational styles have been subject to a tension between an informational-educational purpose and the need to engage us entertainingly. While current affairs programmes are often ‘serious’ in tone sticking to the ‘rules’ of balance, more popular programmes adopt a friendly, lighter, idiom in which we are invited to consider the impact of particular news items from the perspective of the ‘average person in the street’. Indeed, contemporary news construction has come to rely on an increased use of faster editing tempos and ‘flashier’ presentational styles including the use of logos, sound-bites, rapid visual cuts and the ‘star quality’ of news readers. Popular formats can be said to enhance understanding by engaging an audience unwilling to endure the longer verbal orientation of older news formats. However, they arguably work to reduce understanding by failing to provide the structural contexts for news events.
Answer: verbal and visual idioms or modes of address
Explain:","The news, especially the news, which is broadcasted on television, not only the content but also the visual editing screen and a short broadcasting gear, using the 'more dazzling' expression method, to attract viewers' attention to increase the understanding of the news, verbal and visual idioms or modes of address in the blank.",3,train
"Context: Temporal resolution is particularly interesting in the context of satellite remote sensing. The temporal density of remotely sensed imagery is large, impressive, and growing. Satellites are collecting a great deal of imagery as you read this sentence. However, most applications in geography and environmental studies do not require extremely fine-grained temporal resolution. Meteorologists may require visible, infrared, and radar information at sub-hourly temporal resolution; urban planners might require imagery at monthly or annual resolution; and transportation planners may not need any time series information at all for some applications. Again, the temporal resolution of imagery used should meet the requirements of your inquiry. Sometimes researchers have to search archives of aerial photographs to get information from that past that pre-date the collection of satellite imagery.
Answer: meet the requirements of your inquiry
Explain:","The passage explains that the required temporal resolution depends on the research purpose. In other words, the temporal resolution of the images used should ""meet the requirements of your inquiry,"" making this the most appropriate choice.",3,train
"Context: One of the common themes of the Western philosophical tradition is the distinction between sensual perceptions and rational knowledge. Since Plato, the supremacy of rational reason is based on the assertion that it is able to extract true knowledge from experience. As the discussion in the Republic helps to explain, perceptions are inherently unreliable and misleading because the senses are subject to errors and illusions. Only the rational discourse has the tools to overcome illusions and to point towards true knowledge. For instance, perception suggests that a figure in the distance is smaller than it really is. Yet, the application of logical reasoning will reveal that the figure only appears small because it obeys the laws of geometrical perspective. Nevertheless, even after the perspectival correction is applied and reason concludes that perception is misleading, the figure still appears small, and the truth of the matter is revealed not in the perception of the figure but in its rational representation.
Answer: not in the perception of the figure but in its rational representation
Explain:","The perception of errors and illusions is essentially incomprehensible, misleading, and only the superiority of reason, which only reasonable discourse has a tool to overcome the illusion and refer to true knowledge. In the middle and second half of the article, the shape that is far away is small because of the geometric perspective, and even after applying the perspective correction, the form is still seen, so the truth is revealed through reasonable reason, not crust. Therefore, not in the perception of the figure but in its rational representation is the most appropriate word for the blank.",3,train
"Context: When it comes to climates in the interior areas of continents, mountains play a huge role in stopping the flow of moisture. A great example of this can be seen along the West Coast of the United States. Air moving from the Pacific Ocean toward the land usually has a great deal of moisture in it. When this humid air moves across the land, it encounters the Coast Range Mountains. As the air moves up and over the mountains, it begins to cool, which causes precipitation on the windward side of the mountains. Once the air moves down the opposite side of the mountains (called the leeward side) it has lost a great deal of moisture. The air continues to move and then hits the even higher Sierra Nevada mountain range. This second uplift causes most of the remaining moisture to fall out of the air, so by the time it reaches the leeward side of the Sierras, the air is extremely dry. The result is that much of the state of Nevada is a desert.
Answer: play a huge role in stopping the flow of moisture
Explain:","The passage describes how mountains force moist air to rise, causing precipitation on windward sides and leaving leeward sides dry. Thus, mountains “play a huge role in stopping the flow of moisture.” The other options do not capture this moisture-blocking effect.",2,train
"Context: Emma Brindley has investigated the responses of European robins to the songs of neighbors and strangers. Despite the large and complex song repertoire of European robins, they were able to discriminate between the songs of neighbors and strangers. When they heard a tape recording of a stranger, they began to sing sooner, sang more songs, and overlapped their songs with the playback more often than they did on hearing a neighbor’s song. As Brindley suggests, the overlapping of song may be an aggressive response. However, this difference in responding to neighbor versus stranger occurred only when the neighbor’s song was played by a loudspeaker placed at the boundary between that neighbor’s territory and the territory of the bird being tested. If the same neighbor’s song was played at another boundary, one separating the territory of the test subject from another neighbor, it was treated as the call of a stranger. Not only does this result demonstrate that the robins associate locality with familiar songs, but it also shows that the choice of songs used in playback experiments is highly important.
Answer: the robins associate locality with familiar songs
Explain:","This article describes Emma Brindley's research on the reactions of European storks to songs of neighboring and unfamiliar birds. Brindley's experiment states that storks react differently to songs of neighboring and unfamiliar birds, which depends on the boundary at which the bird's sound is played when playing the bird's sound through a loudspeaker, so the robins associate locality with familiar songs is the most appropriate word to enter the blank space.",3,train
"Context: Even if it is correct to say that we express and represent our thoughts in language, it may be a big mistake to suppose that there are structural similarities between what is doing the representing and what is represented. Robert Stalnaker, in his book Inquiry, suggests an analogy with the representation of numbers: The number 9 can be represented as ‘12—3’ but it does not follow that 12, 3, or subtraction are constituents of the number 9. We could compare a thought and its verbal expression with toothpaste and its ‘expression’ from a tube. That the result of expressing toothpaste is a long, thin, cylinder does not entail that toothpaste itself is long, thin, or cylindrical. Similarly, a thought might get expressed out loud in a statement with a particular linguistic structure. It does not follow that the thought itself has such a structure. Suppose, for example, that I look at a fruit bowl, and think that there is an apple and an orange in that bowl. The objects in front of my eyes include some pieces of fruit and a bowl, but no object corresponding to the word ‘and’ exists either in the world or in my visual image.
Answer: the thought itself has such a structure
Explain:","Thoughts are expressed using language as a medium, but there is no structural similarity between the two. Just because a thought is expressed in a particular linguistic structure does not mean that the thought itself has that structure. Therefore, option 1 is the correct answer.",3,train
"Context: When the navigation app on your smartphone is telling you the best route to the airport based on current traffic patterns, how does it know where the traffic is? Navigation systems are tracking your cell phone and the cell phones of thousands of other users of the applications to see how quickly those cell phones move through traffic. If you’re stuck in a traffic jam, your cell phone reports the same GPS coordinates for several minutes; if traffic is moving swiftly, your cell phone moves as quickly as your car and these apps can recommend routes based on that. The quality of the overall system depends crucially on there being a large number of users. In this respect they’re similar to telephones, fax machines, and e­mail: If only one or two people have them, they are not much good―their utility increases with the number of users.
Answer: the number of users
Explain:","The passage describes a network-effect situation where the value of the system grows as more people use it; only “the number of users” fits this idea, whereas the other choices do not explain why utility depends on widespread adoption.",3,train
"Context: Heritage is concerned with the ways in which very selective material artefacts, mythologies, memories and traditions become resources for the present. The contents, interpretations and representations of the resource are selected according to the demands of the present; an imagined past provides resources for a heritage that is to be passed onto an imagined future. It follows too that the meanings and functions of memory and tradition are defined in the present. Further, heritage is more concerned with meanings than material artefacts. It is the former that give value, either cultural or financial, to the latter and explain why they have been selected from the near infinity of the past. In turn, they may later be discarded as the demands of present societies change, or even, as is presently occurring in the former Eastern Europe, when pasts have to be reinvented to reflect new presents. Thus heritage is as much about forgetting as remembering the past.
Answer: as much about forgetting as remembering the past
Explain:","The passage states that cultural heritage consists of artifacts, myths, memories, and traditions from the past that are selected, valued, and interpreted from the perspective of the present. Therefore, ""as much about forgetting as remembering the past"" is the most appropriate choice.",3,train
"Context: Life is insecure and human well­being is fragile. If we are honest with ourselves, we realize that, despite our best efforts, we often cannot control the vicissitudes of human existence. We go through life in fear and trembling, fearing what may happen, while hoping for the best. Most of us get anxious in the face of an indeterminate or ambiguous situation. We don’t handle uncertainty very well. We are easily tempted to settle for quick “solutions,” in order to eliminate our anxiety and doubt, even though these quick fixes may not, in the long run, actually be adequate solutions. It is natural, therefore, and even somewhat necessary, for us to seek stability in a sea of change and indeterminacy. We want a fixed star to guide us on our journey through hazardous waters. If only we could have knowledge of what is fixed, unchanging, and ultimately reliable, then, we assume, that would be knowledge most worth having.
Answer: stability
Explain:","Because the passage describes a desire for something constant and dependable amid uncertainty, “stability” best fills the blank. The other options (reputation, fluidity, challenge, interdependency) do not convey the idea of a fixed guiding point.",3,train
"Context: The quest for knowledge in the material world is a never­ending pursuit, but the quest does not mean that a thoroughly schooled person is an educated person or that an educated person is a wise person. We are too often blinded by our ignorance of our ignorance, and our pursuit of knowledge is no guarantee of wisdom. Hence, we are prone to becoming the blind leading the blind because our overemphasis on competition in nearly everything makes looking good more important than being good. The resultant fear of being thought a fool and criticized therefore is one of greatest enemies of true learning. Although our ignorance is undeniably vast, it is from the vastness of this selfsame ignorance that our sense of wonder grows. But, when we do not know we are ignorant, we do not know enough to even question, let alone investigate, our ignorance. No one can teach another person anything. All one can do with and for someone else is to facilitate learning by helping the person to discover the wonder of their ignorance.
Answer: discover the wonder of their ignorance
Explain:",The passage highlights that recognizing one’s own ignorance is essential for true learning; facilitators help learners become aware of their ignorance. Only “discover the wonder of their ignorance” matches this focus. The other options do not address fostering awareness of ignorance.,3,train
"Context: People have always wanted to be around other people and to learn from them. Cities have long been dynamos of social possibility, foundries of art, music, and fashion. Slang, or, if you prefer, “lexical innovation,” has always started in cities―an outgrowth of all those different people so frequently exposed to one another. It spreads outward, in a manner not unlike trans- missible disease, which itself typically “takes off” in cities. If, as the noted linguist Leonard Bloomfield argued, the way a person talks is a “composite result of what he has heard before,” then language innovation would happen where the most people heard and talked to the most other people. Cities drive taste change because they offer the greatest exposure to other people, who not surprisingly are often the creative people cities seem to attract. Media, ever more global, ever more far-reaching, spread language faster to more people.
Answer: offer the greatest exposure to other people
Explain:","The slang, that is, the innovation of vocabulary, is said to be in the city where various people are frequently encountered with each other, and the most people have the opportunity to communicate with each other. Since Taste Change is the appearance of a slang in context, the most appropriate word for the blank is offer the greatest exposure to other people.",3,train
"Context: Weber’s law concerns the perception of difference between two stimuli. It suggests that we might not be able to detect a 1-mm difference when we are looking at lines 466 mm and 467 mm in length, but we may be able to detect a 1-mm difference when we are comparing a line 2 mm long with one 3 mm long. Another example of this principle is that we can detect 1 candle when it is lit in an otherwise dark room. But when 1 candle is lit in a room in which 100 candles are already burning, we may not notice the light from this candle. Therefore, the Just-noticeable difference (JND) varies as a function of the strength of the signals. For example, the JND is greater for very loud noises than it is for much more quiet sounds. When a sound is very weak, we can tell that another sound is louder, even if it is barely louder. When a sound is very loud, to tell that another sound is even louder, it has to be much louder. Thus, Weber’s law means that it is harder to distinguish between two samples when those samples are larger or stronger levels of the stimuli.
Answer: when those samples are larger or stronger levels of the stimuli
Explain:","Weber’s law emphasizes that the ability to detect a difference between stimuli depends on the intensity of those stimuli. As stimulus intensity increases, the difference required to notice a change also increases. Thus, it becomes harder to distinguish between samples when they are at stronger levels, supporting choice when those samples are larger or stronger levels of the stimuli. The other choices misrepresent the principle or introduce irrelevant factors.",2,train
"Context: Sculpture in a public place is the emotional and aesthetic focal point of the elements in the surrounding environment. Any environment is unique with the diversity of its component elements, the connections between them and their appearance as a complete structure. This preliminary structural analysis and acquaintance with the site chosen for the sculpture is compulsory before working on its design; it is a requirement for successful integration in the specific space. The proper understanding of the spatial characteristics of the elements, making up the whole multitude, as well as of the structural links between the constituent elements of this specific microcosm are preconditions for satisfactory design and an adequate sculptural solution. Contrary to the mechanical adding of one more element to the multitude, it is better to “weave” something more into the context of the existing structure.
Answer: successful integration in the specific space
Explain:",Understanding the site’s spatial characteristics and structural links is necessary to integrate a sculpture harmoniously into its surroundings; only “successful integration in the specific space” captures this idea. The other options do not relate to contextual design considerations.,3,train
